 Program starts execution at  2017-08-28 20:39:55 
Authentication starts  2017-08-28 20:39:55 
Authentication completed  2017-08-28 20:39:55 
Starting time for searching pages which have the given search string  Johnson's Baby 2017-08-28 20:39:55 
Finishing time for searching pages which have the given search string  2017-08-28 20:40:00 
Starting time for going through each page  2017-08-28 20:40:00 
Starting time		 Page Id	Number of relevant posts	 Finishing Time 
 2017-08-28 20:58:10 	 438717826200231 		 778 		 2017-08-28 20:58:52 
 2017-08-28 20:58:52 	 115045645215068 		 607 		 2017-08-28 20:59:23 
 2017-08-28 20:59:23 	 158194504203097 		 7 		 2017-08-28 20:59:45 
 2017-08-28 20:59:45 	 151713051567596 		 1841 		 2017-08-28 21:00:40 
 2017-08-28 21:00:40 	 142442295952702 		 72 		 2017-08-28 21:00:59 
 2017-08-28 21:00:59 	 100922536968307 		 832 		 2017-08-28 21:02:09 
 2017-08-28 21:02:09 	 1784174901910440 		 25 		 2017-08-28 21:02:16 
 2017-08-28 21:02:16 	 151133648254845 		 484 		 2017-08-28 21:03:10 
 2017-08-28 21:03:10 	 539121322937187 		 1128 		 2017-08-28 21:04:17 
 2017-08-28 21:04:17 	 1649175035380140 		 612 		 2017-08-28 21:04:57 
 2017-08-28 21:04:57 	 78725092727 		 327 		 2017-08-28 21:05:20 
 2017-08-28 21:05:20 	 1689521041284769 		 5 		 2017-08-28 21:05:28 
 2017-08-28 21:05:28 	 1355995717797661 		 10 		 2017-08-28 21:05:30 
 2017-08-28 21:05:30 	 379783472036062 		 62 		 2017-08-28 21:05:41 
 2017-08-28 21:05:41 	 443625982496447 		 842 		 2017-08-28 21:06:29 
 2017-08-28 21:06:29 	 562529547181774 		 1544 		 2017-08-28 21:07:16 
 2017-08-28 21:07:16 	 1297584476924002 		 964 		 2017-08-28 21:07:51 
 2017-08-28 21:07:51 	 403422500050509 		 10 		 2017-08-28 21:07:55 
 2017-08-28 21:07:55 	 1712121789064251 		 2199 		 2017-08-28 21:09:35 
 2017-08-28 21:09:35 	 1414061685479291 		 0 		 2017-08-28 21:09:35 
 2017-08-28 21:09:35 	 1012729995435355 		 1650 		 2017-08-28 21:10:34 
 2017-08-28 21:10:34 	 121272805137287 		 1 		 2017-08-28 21:10:35 
 2017-08-28 21:10:35 	 977110055681295 		 40 		 2017-08-28 21:10:52 
 2017-08-28 21:10:52 	 678612772277932 		 158 		 2017-08-28 21:11:23 
 2017-08-28 21:11:23 	 222547257783211 		 25 		 2017-08-28 21:11:39 
 2017-08-28 21:11:39 	 254681661302849 		 905 		 2017-08-28 21:12:17 
 2017-08-28 21:12:17 	 1523292357964644 		 19 		 2017-08-28 21:12:30 
 2017-08-28 21:12:30 	 100762476679378 		 207 		 2017-08-28 21:12:58 
 2017-08-28 21:12:58 	 584171298267786 		 749 		 2017-08-28 21:13:45 
 2017-08-28 21:13:45 	 1857552474565659 		 7 		 2017-08-28 21:13:48 
 2017-08-28 21:13:48 	 104229176783820 		 4 		 2017-08-28 21:13:50 
 2017-08-28 21:13:50 	 240723256048534 		 0 		 2017-08-28 21:13:51 
 2017-08-28 21:13:51 	 191773900876558 		 1 		 2017-08-28 21:13:52 
 2017-08-28 21:13:52 	 1116363258420196 		 0 		 2017-08-28 21:13:54 
 2017-08-28 21:13:54 	 144293188977321 		 221 		 2017-08-28 21:14:27 
 2017-08-28 21:14:27 	 1467875913530857 		 57 		 2017-08-28 21:14:46 
 2017-08-28 21:14:46 	 284359768708087 		 4 		 2017-08-28 21:14:48 
 2017-08-28 21:14:48 	 533044446751776 		 1769 		 2017-08-28 21:15:51 
 2017-08-28 21:15:51 	 298884903559801 		 1 		 2017-08-28 21:15:56 
 2017-08-28 21:15:56 	 142583732494850 		 18 		 2017-08-28 21:16:02 
 2017-08-28 21:16:02 	 136397116956650 		 0 		 2017-08-28 21:16:03 
 2017-08-28 21:16:03 	 734938826656272 		 1 		 2017-08-28 21:16:09 
 2017-08-28 21:16:09 	 1287776047921029 		 1 		 2017-08-28 21:16:16 
 2017-08-28 21:16:16 	 110953682897773 		 0 		 2017-08-28 21:16:16 
 2017-08-28 21:16:16 	 1508526719443940 		 16 		 2017-08-28 21:16:18 
 2017-08-28 21:16:18 	 197839296991474 		 278 		 2017-08-28 21:16:37 
 2017-08-28 21:16:37 	 1215700578548623 		 28 		 2017-08-28 21:16:43 
 2017-08-28 21:16:43 	 1139234639524281 		 2 		 2017-08-28 21:16:45 
 2017-08-28 21:16:45 	 380945100049 		 360 		 2017-08-28 21:17:17 
 2017-08-28 21:17:17 	 110615569620808 		 0 		 2017-08-28 21:17:18 
 2017-08-28 21:17:18 	 246096269209283 		 0 		 2017-08-28 21:17:18 
 2017-08-28 21:17:18 	 179238605466339 		 15 		 2017-08-28 21:17:21 
 2017-08-28 21:17:21 	 143328175684149 		 0 		 2017-08-28 21:17:21 
 2017-08-28 21:17:21 	 368241249965659 		 7 		 2017-08-28 21:17:22 
 2017-08-28 21:17:22 	 463154213695700 		 39 		 2017-08-28 21:17:43 
 2017-08-28 21:17:43 	 1833240776957228 		 26 		 2017-08-28 21:17:49 
 2017-08-28 21:17:49 	 654685794550320 		 24 		 2017-08-28 21:17:52 
 2017-08-28 21:17:52 	 233223586819083 		 0 		 2017-08-28 21:17:52 
 2017-08-28 21:17:52 	 1918626318461930 		 3 		 2017-08-28 21:17:54 
 2017-08-28 21:17:54 	 112470606969 		 153 		 2017-08-28 21:18:28 
 2017-08-28 21:18:28 	 1417357921813522 		 11 		 2017-08-28 21:18:30 
 2017-08-28 21:18:30 	 179801145428815 		 0 		 2017-08-28 21:18:30 
 2017-08-28 21:18:30 	 237844543259758 		 17 		 2017-08-28 21:18:42 
 2017-08-28 21:18:42 	 370641146353131 		 9 		 2017-08-28 21:18:43 
 2017-08-28 21:18:43 	 601364416721930 		 0 		 2017-08-28 21:18:44 
 2017-08-28 21:18:44 	 284828681539800 		 0 		 2017-08-28 21:18:45 
 2017-08-28 21:18:45 	 382239378574713 		 2 		 2017-08-28 21:18:46 
 2017-08-28 21:18:46 	 737504786262868 		 0 		 2017-08-28 21:18:50 
 2017-08-28 21:18:50 	 1502758693384802 		 63 		 2017-08-28 21:19:12 
